SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OWN_CAR_AGE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100001,0,Cash loans,M,N,N,0,174669.9314960539,564552.5754286934,42862.22193468856,486019.2817637897,Working,Secondary / secondary special,Married,House / apartment,-17059,-7113,,2,2,0.40970582261994454,0.6934017181575794,
100002,0,Revolving loans,F,N,N,0,158189.54082907338,531986.095860631,41845.76881822714,528242.7072309065,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-14141,365243,,2,3,0.6283577736500934,0.7020482261502211,
100003,0,Cash loans,F,Y,Y,0,53774.528857529585,177204.1948104139,8755.830119733697,173087.72633331048,Commercial associate,Secondary / secondary special,Married,House / apartment,-15661,-2415,4.0,2,3,0.7308040370756123,0.7194916304030172,0.44425148841365386
100004,0,Cash loans,M,N,Y,0,113722.20395573712,406179.30985016044,19217.09273953112,348014.7174296342,Commercial associate,Higher education,Married,With parents,-19032,-7085,,2,2,,0.4811399422308547,0.24691885552671128
100005,0,Cash loans,F,N,N,1,238453.64795066306,548330.2880354888,40901.70578032043,488404.4289053765,Working,Secondary / secondary special,Single / not married,House / apartment,-22622,-12235,,2,2,,0.6422901886295046,
100006,0,Cash loans,M,N,Y,0,78021.47183405476,353728.27924279956,17586.6554633857,334121.6551965032,State servant,Higher education,Civil marriage,House / apartment,-13253,-5551,,2,1,0.4675064714338713,0.7114344253337862,0.39891091630399117
100007,0,Cash loans,F,N,N,0,101114.78675879951,431979.04208376835,31929.101745136773,388005.3554262346,Working,Higher education,Married,With parents,-22768,-1483,,2,2,0.26673890128190597,0.8361116078341317,0.27396547096106494
100008,0,Cash loans,M,N,N,0,529944.7226799831,2000000.0,104094.96341427945,1784541.0144963488,Commercial associate,Secondary / secondary special,Married,House / apartment,-18559,-5355,,2,2,0.22993407924230855,0.7322362581273004,
100009,0,Cash loans,F,Y,Y,2,156834.89984167216,364550.3600778852,14861.794350418131,342451.0194611024,State servant,Secondary / secondary special,Civil marriage,House / apartment,-23792,-4019,4.0,4,2,,0.6295736025302897,0.7708999047920071
100010,0,Cash loans,M,Y,Y,0,117125.70333772706,277919.9414851427,15807.409911440609,244333.69731983735,Commercial associate,Secondary / secondary special,Married,House / apartment,-17232,-8830,6.0,2,1,,0.35434671421766223,0.2891580260696045
